1, Eunice GONZALEZ, 1903-10-31, 3880 Stephen Heights, Calgary, T1Y 3A8, AB, 403 676 7721
2, Ulysiss ROBERTS, 1946-11-26, 3409 Stephen Heights, Winnipeg, R2C 0G3, MB, 306 456 2438
3, Mavrick SCOTT, 1904-7-18, 8810 Langdale Terrace, San Jose, 95111, CA, 408 866 8060
4, Ivana SIMPSON, 1977-11-3, 6421 Anson Fields, Alaxandria, 22304, VA, 905 240 5289
5, Grant REYES, 1913-6-15, 3897 Edinburgh Parc, Moscow, 83843, ID, 855 810 8897
6, Ryan GREEN, 1927-9-20, 4957 Dane Ridings, Gilroy, 95020, CA, 408 903 8060
7, Nikole TURNER, 1985-12-25, 3102 St Combs Court, Volgograd, 400001, VO, 506 760 2662
8, Ivana HARRISON, 1916-6-7, 3060 Carrick Row, Winnipeg, R2C 0G3, MB, 306 450 4571
9, Samantha PHILLIPS, 2015-5-13, 5434 Mead Heath, Charleston, 29401, SC, 843 320 1761
10, Zaplod RUSSELL, 2007-4-23, 3346 Bond Barton, Vancouver, V5K 0A8, BC, 604 856 2571
11, Aaron COLE, 1984-3-25, 9435 Langdale Glade, Edmonton, T5A 0W4, AB, 780 663 5738
12, Riley GIBSON, 1966-5-16, 8170 Ivy Buildings, Charleston, 29401, SC, 843 206 7171
13, Samantha JENKINS, 1951-12-27, 6900 Poets' Road, San Francisco, 94140, CA, 415 752 2439
14, Persepone PORTER, 1974-7-16, 2264 Furness Bridge, Vancouver, V5K 0A8, BC, 604 324 3568
15, Ethan COLE, 1906-4-29, 2270 Second Bank, Moscow, 83843, ID, 855 729 8413
16, Jevrem FLORES, 1964-11-11, 7166 Trent Top, Edmonton, T5A 0W4, AB, 780 219 7000
17, Lilly ROBINSON, 1923-11-16, 8710 Vernon Celyn, Charleston, 29401, SC, 843 858 8331
18, Rachel WILSON, 2000-11-30, 8120 Coggeshall Road, Alaxandria, 22304, VA, 905 353 6607
19, Persepone SHAW, 1910-10-3, 6524 Lytton Lanes, Vancouver, V5K 0A8, BC, 604 630 1129
20, Jullian RICHARDSON, 2016-3-14, 5104 Greenacre Beeches, Winnipeg, R2C 0G3, MB, 306 116 4984
21, Veronica HOWARD, 1906-8-19, 5710 Old Kirton Road, San Francisco, 94140, CA, 415 748 5450
22, Tylor ANDERSON, 1961-1-31, 3123 Kendal Parade, Charleston, 29401, SC, 843 306 4107
23, Riley BURNS, 2019-7-20, 104 Coggeshall Road, Calgary, T1Y 3A8, AB, 403 213 2410
24, David HENDERSON, 1940-12-15, 1012 Williams Cloisters, Gilroy, 95020, CA, 408 985 6571
25, Ivana TORRES, 1902-2-9, 7866 Sir Karl Cohen Square, Edmonton, T5A 0W4, AB, 780 236 6715
26, Xavier TORRES, 1905-8-23, 6309 St Margarets Leys, Alaxandria, 22304, VA, 905 491 7831
27, Beuatrice FREEMAN, 1941-8-13, 2888 Whitestone Close, Gilroy, 95020, CA, 408 386 6414
28, Grant LONG, 2014-10-22, 8886 Pippin Oaks, Winnipeg, R2C 0G3, MB, 306 645 5699
29, Quanny FOSTER, 2006-1-6, 3592 Old Kirton Road, Calgary, T1Y 3A8, AB, 403 215 4694
30, William SANCHEZ, 1985-12-5, 8974 Blairbeg Place, Edmonton, T5A 0W4, AB, 780 358 8893
31, Ivana SANDERS, 1934-9-17, 6211 Pasture Leaze, Charleston, 29401, SC, 843 125 3990
32, David MASON, 1993-10-14, 2560 Cowley Reach, Vancouver, V5K 0A8, BC, 604 202 4792
33, Sharell LEWIS, 1946-5-12, 8685 Melbourne Meadows, San Jose, 95111, CA, 408 313 1677
34, Flanigan COLEMAN, 1960-10-2, 135 Coggeshall Road, Gilroy, 95020, CA, 408 564 7369
35, Quanny KENNEDY, 1974-7-2, 1455 Blairbeg Place, Edmonton, T5A 0W4, AB, 780 339 8992
36, Samantha HAYES, 1921-2-1, 3508 High Hall, Charleston, 29401, SC, 843 157 2073
